word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
"satysfakcjonować",U,5.0,1.5384616,1.5,1.9615384,1.5769231,2.9558249,7.419775,7.47441,7.0964594,7.3966236,4.8522134
pazur,U,2.0384614,2.1538463,1.9615384,2.7692308,2.7307692,6.4802704,6.507416,6.6492224,5.8639574,5.828272,3.7151327
klej,U,2.1538463,1.8461539,1.4230769,2.0384614,2.0769231,5.6729994,6.143512,6.539292,5.890153,5.890109,2.6520414
"wykończyć",U,1.9615384,3.1538463,3.5,3.4615386,2.7307692,7.3131356,6.8543353,6.536184,6.5973134,7.211685,5.399113
bluzka,U,3.2307692,1.3846154,1.3846154,1.4615384,1.2307693,4.2487254,6.5732923,6.573506,6.495186,6.7114224,2.6478686
"przypominać",U,2.7692308,2.5,1.8461539,1.9230769,1.4615384,5.309945,5.6570554,6.382668,6.345479,6.7095137,3.315467
kawowy,U,4.076923,1.3846154,1.1538461,1.0769231,1.3461539,3.1754038,6.7255526,6.9417934,7.022252,6.6898746,3.4553435
monogamiczny,U,3.9615386,1.5769231,1.5769231,2.0,1.3076923,3.9992218,6.924672,6.951523,6.585671,7.1219487,3.746538
"poronić",U,1.2692307,4.5,5.8846154,5.269231,3.5,10.35372,8.428655,7.1538005,7.8503394,9.064239,8.47618
zatarg,U,1.3461539,3.7307692,3.4230769,3.8461537,2.4230769,8.09134,6.1479745,6.5021887,5.9662457,7.2923326,5.361318
bezkonfliktowy,U,4.4615383,1.4615384,1.6538461,1.7692307,1.3461539,3.3262072,7.1475043,6.976677,6.8502855,7.2622805,4.207568
bankructwo,U,1.0,4.8846154,4.8076925,5.4615383,3.3076923,10.172581,7.637452,7.774146,7.0725813,8.819131,7.873213
odsetki,U,2.8076923,2.8461537,2.7692308,3.2692308,2.3076923,6.1776876,7.0230875,7.0775776,6.47741,7.448467,5.4493365
centralny,U,2.0384614,1.8846154,1.9615384,2.1923077,2.2307692,6.1715875,6.6319265,6.586398,6.3853016,6.3510656,3.0287719
"rozbój",U,1.3076923,4.269231,3.2692308,4.8076925,3.7307692,9.034618,6.9241123,7.8251853,6.383117,7.3385262,6.6401143
mit,U,2.3076923,2.0384614,2.2692308,1.8846154,1.5769231,5.799973,6.2860436,6.097097,6.4207044,6.648152,3.0758111
administracja,U,1.7307693,3.3846154,2.1923077,2.5769231,2.6538463,7.1842833,5.7856984,6.970444,6.664787,6.563543,4.344772
pistolet,U,1.7692307,3.2307692,3.1538463,4.8076925,3.3076923,8.210603,7.444588,7.5699897,5.8335037,7.3935614,6.1697946
"zwiększenie",U,3.8846154,1.5,1.3846154,1.9615384,1.1923077,3.7592533,6.664255,6.7660403,6.20165,6.9523425,3.5053048
wspomnienie,U,4.3846154,2.0384614,3.6153846,2.4615386,1.6923077,4.894522,7.4603863,6.0302124,7.1025286,7.7049813,5.405919
spisek,U,1.2307693,3.8076923,3.3846154,4.3846154,3.7307692,8.788092,6.9360228,7.2950964,6.3473797,6.8221807,6.386912
